timestamp,util_pct,mem_used_mib,power_w,temp_c
1784972960,0,433,115.90,37
1784972961,0,433,115.06,37
1784972963,1,958,115.29,37
1784972964,43,958,120.93,37
1784972965,0,958,115.13,37
1784972967,0,992,115.20,37
1784972968,84,2009,134.33,38
1784972969,61,2009,162.44,38
1784972970,78,2009,164.68,38
1784972971,78,2009,160.90,38
1784972972,67,2009,160.91,38
1784972974,78,2009,165.09,38
1784972975,77,2009,163.20,38
1784972976,68,2009,165.61,38
1784972977,53,2009,162.71,38
1784972978,77,2009,163.97,38
1784972979,78,2009,163.82,39
1784972980,78,2009,161.33,39
1784972981,68,2009,162.50,39
1784972982,67,2009,156.76,39
1784972983,63,2009,158.04,38
1784972985,62,2009,160.73,38
1784972986,65,2009,156.02,39
1784972987,57,2009,157.62,39
1784972988,56,2009,155.68,39
1784972989,65,2009,157.25,39
1784972990,61,2009,156.58,39
1784972991,66,2009,152.21,39
1784972992,67,2009,152.75,39
1784972993,70,2009,150.21,39
1784972994,62,2021,145.60,38
1784972995,72,2021,147.88,38
1784972997,68,2021,147.61,39
1784972998,67,2021,150.28,39
1784972999,57,2021,149.47,38
1784973000,65,2021,148.61,39
1784973001,78,2021,148.31,39
1784973002,78,2021,145.21,39
1784973003,67,2021,145.42,39
1784973004,68,2021,145.13,39
1784973005,57,2021,141.95,39
1784973006,78,2021,140.11,39
1784973007,73,2021,139.61,38
1784973008,76,2021,139.22,38
1784973010,74,2021,136.72,38
1784973011,75,2021,136.48,38
1784973012,76,2021,135.82,38
1784973013,77,2021,134.93,38
1784973014,77,2021,134.38,38
1784973015,77,2021,132.48,38
1784973016,78,2021,130.35,38
1784973017,80,2021,127.44,38
1784973018,81,2021,127.47,38
1784973019,81,2021,125.92,38
1784973020,82,2021,125.61,38
1784973021,33,2021,121.69,38
1784973023,34,2021,120.25,38
1784973024,33,2021,120.04,38
1784973025,0,2021,115.61,38
1784973026,0,2021,115.57,38
1784973027,0,2021,115.63,38
1784973028,69,2979,160.85,40
1784973029,96,2979,275.09,41
1784973030,96,2979,281.16,42
1784973031,96,2979,278.49,42
1784973032,96,2979,278.68,43
1784973033,96,2979,280.56,43
1784973035,96,2979,286.95,43
1784973036,96,2979,283.88,44
1784973037,96,2979,288.23,44
1784973038,96,2979,285.32,44
1784973039,63,2979,278.03,42
1784973040,79,2979,162.75,41
1784973041,72,2979,163.72,41
1784973042,63,2979,157.78,40
1784973043,73,2979,163.45,41
1784973044,71,2979,163.12,41
1784973045,71,2979,158.67,41
1784973047,71,2979,155.71,41
1784973048,62,2979,154.47,40
1784973049,69,2979,158.86,41
1784973050,71,2979,160.42,41
1784973051,53,2979,153.55,40
1784973052,56,2979,154.68,40
1784973053,63,2979,154.08,40
