timestamp,util_pct,mem_used_mib,power_w,temp_c
1786956600,0,433,118.60,42
1786956601,0,433,118.39,42
1786956602,0,433,118.47,42
1786956603,0,433,118.52,42
1786956604,0,433,118.24,42
1786956605,0,433,118.21,42
1786956606,0,862,118.52,42
1786956608,0,862,117.97,42
1786956609,0,862,118.35,41
1786956610,0,862,118.26,41
1786956613,0,879,117.86,41
1786956614,71,1606,160.06,43
1786956616,100,3596,241.39,44
1786956617,100,3596,259.62,45
1786956618,100,3596,256.10,45
1786956619,100,3596,254.40,45
1786956620,100,3596,253.36,45
1786956621,99,3596,257.10,45
1786956623,100,3596,252.35,46
1786956624,100,3596,251.43,46
1786956625,100,3596,257.48,46
1786956626,100,3596,259.39,46
1786956627,100,3596,256.36,46
1786956628,100,3596,253.51,46
1786956629,100,3596,263.04,46
1786956630,100,3596,254.19,46
1786956631,100,3596,255.86,46
1786956632,96,3596,250.63,46
1786956634,100,3596,255.62,46
1786956635,97,3596,252.93,46
1786956636,98,3596,253.53,46
1786956637,99,3596,257.49,46
1786956638,100,3596,255.39,46
1786956639,100,3596,253.29,46
1786956640,100,3596,256.06,46
1786956641,100,3596,251.14,47
1786956642,99,3596,253.91,47
1786956643,99,3596,255.28,47
1786956645,100,3596,255.33,47
1786956646,100,3596,256.79,47
1786956647,100,3596,260.37,47
1786956648,100,3596,253.47,47
1786956649,98,3596,254.27,47
1786956650,100,3596,252.86,47
1786956651,100,3596,254.45,47
1786956652,96,3596,256.37,47
1786956653,97,3596,253.29,47
1786956655,96,3596,251.96,47
1786956656,96,3596,252.96,47
1786956657,95,3596,251.74,47
1786956658,100,3596,253.32,47
1786956659,96,3596,255.64,47
1786956660,96,3596,249.52,47
1786956661,95,3596,250.24,47
1786956662,95,3596,256.77,47
1786956663,97,3596,255.15,47
1786956664,97,3596,248.62,47
1786956666,97,3596,257.58,47
1786956667,98,3596,251.99,47
1786956668,95,3596,249.28,47
1786956669,100,3596,247.62,47
1786956670,95,3596,254.00,47
1786956671,100,3596,256.87,47
1786956672,96,3596,250.97,47
1786956673,97,3596,249.99,47
1786956674,96,3596,249.59,47
1786956675,95,3596,253.75,47
1786956677,95,3596,247.78,47
1786956678,95,3596,251.18,47
1786956679,95,3596,247.54,47
1786956680,95,3596,251.68,47
1786956681,94,3596,249.06,47
1786956682,95,3596,252.13,47
1786956683,100,3596,256.36,47
1786956684,100,3596,252.02,47
1786956685,100,3596,255.73,47
1786956686,100,3596,254.49,47
1786956688,100,3596,261.02,47
1786956689,100,3596,260.11,47
1786956690,100,3596,255.53,47
1786956691,100,3596,256.41,47
1786956692,100,3596,256.67,47
1786956693,100,3596,261.23,47
1786956694,100,3596,260.91,47
1786956695,100,3596,263.33,47
1786956696,100,3596,255.31,47
1786956697,100,3596,261.25,47
1786956698,97,3596,257.45,47
1786956700,97,3596,255.05,47
1786956701,99,3596,257.23,47
1786956702,97,3596,252.01,47
1786956703,97,3596,260.00,47
1786956704,96,3596,251.00,47
1786956705,94,3596,252.13,47
1786956706,94,3596,252.70,47
1786956707,100,3596,258.01,47
1786956708,100,3596,258.89,47
1786956709,100,3596,256.27,47
1786956711,100,3596,256.67,47
1786956712,100,3596,259.56,47
1786956713,100,3596,259.27,47
1786956714,99,3596,257.28,47
1786956715,100,3596,257.90,47
1786956716,100,3596,257.13,47
1786956717,99,3596,253.51,47
1786956718,96,3596,258.48,47
1786956719,95,3596,253.67,47
1786956721,100,3596,258.87,47
1786956722,99,3596,249.69,47
1786956723,96,3596,247.82,47
1786956724,100,3596,258.81,47
1786956725,100,3596,259.67,47
1786956726,100,3596,254.30,47
1786956727,100,3596,256.47,47
1786956728,100,3596,256.21,47
1786956729,100,3596,257.31,47
1786956730,100,3596,258.25,47
1786956732,100,3596,256.18,47
1786956733,100,3596,258.28,47
1786956734,100,3596,255.55,47
1786956735,100,3596,254.09,47
1786956736,100,3596,261.57,47
1786956737,96,3596,251.99,47
1786956738,100,3596,250.77,47
1786956739,100,3596,253.14,47
1786956740,100,3596,253.87,47
1786956741,100,3596,257.19,47
1786956743,100,3596,256.42,47
1786956744,100,3596,262.64,47
1786956745,100,3596,259.91,47
1786956746,100,3596,259.62,47
1786956747,100,3596,256.98,47
1786956748,98,3596,249.05,47
1786956749,100,3596,256.38,47
1786956751,98,3596,256.58,47
1786956752,100,3596,250.04,47
1786956753,100,3596,251.49,47
1786956754,100,3596,260.18,47
1786956755,100,3596,256.63,47
1786956756,100,3596,259.58,47
1786956757,100,3596,261.87,47
1786956758,100,3596,265.08,47
1786956759,100,3596,260.11,47
1786956760,95,3596,252.09,47
1786956762,98,3596,253.91,47
1786956763,96,3596,248.61,47
1786956764,100,3596,252.67,47
1786956765,98,3596,258.25,47
1786956766,95,3596,247.65,47
1786956767,100,3596,253.83,47
1786956768,100,3596,252.04,47
1786956769,100,3596,255.90,47
1786956770,100,3596,253.79,47
1786956771,100,3596,255.47,47
1786956773,100,3596,264.93,47
1786956774,100,3596,256.73,47
1786956775,100,3596,258.02,47
1786956776,100,3596,257.60,47
1786956777,100,3596,263.97,47
1786956778,100,3596,258.10,47
1786956779,100,3596,254.09,47
1786956780,93,3596,254.49,47
1786956781,95,3596,250.79,47
1786956783,100,3596,259.49,47
1786956784,100,3596,257.69,47
1786956785,100,3596,252.84,47
1786956786,99,3596,254.86,47
1786956787,99,3596,251.49,47
1786956788,98,3596,252.66,47
1786956789,100,3596,257.47,47
1786956790,97,3596,256.45,47
1786956791,95,3596,248.57,47
1786956792,100,3596,258.57,47
1786956794,100,3596,259.90,47
1786956795,100,3596,264.05,47
1786956796,100,3596,260.26,47
1786956797,100,3596,253.89,47
1786956798,100,3596,253.13,47
1786956799,100,3596,258.44,47
1786956800,100,3596,256.50,47
1786956801,100,3596,253.77,47
1786956802,100,3596,257.96,47
1786956804,100,3596,259.73,47
1786956805,100,3596,258.32,47
1786956806,100,3596,259.20,47
1786956807,100,3596,257.92,47
1786956808,100,3596,258.86,47
1786956809,100,3596,247.72,47
1786956810,100,3596,262.43,47
1786956811,100,3596,255.07,47
1786956812,100,3596,257.29,47
1786956813,100,3596,261.01,47
1786956815,100,3596,256.75,47
1786956816,97,3596,251.98,47
1786956817,100,3596,254.93,47
1786956818,96,3596,255.29,47
1786956819,90,3596,254.05,47
1786956820,100,3596,257.67,47
1786956821,96,3596,248.57,47
1786956822,94,3596,256.10,47
1786956823,95,3596,251.03,47
1786956824,96,3596,253.80,47
1786956825,95,3596,255.86,47
1786956827,97,3596,247.99,47
1786956828,96,3596,255.99,47
1786956829,99,3596,251.40,47
1786956830,100,3596,248.11,47
1786956831,99,3596,247.17,47
1786956832,98,3596,237.57,46
1786956833,99,3596,234.63,46
1786956834,100,3596,227.96,46
1786956835,92,3596,229.28,46
1786956837,99,3596,230.36,46
1786956838,100,3596,230.76,46
1786956839,99,3596,229.29,46
1786956840,99,3596,229.42,46
1786956841,100,3596,230.16,46
1786956842,100,3596,231.37,46
1786956843,100,3596,230.60,46
1786956844,100,3596,232.23,46
1786956845,94,3596,229.11,46
1786956846,96,3596,225.68,46
1786956847,100,3596,227.60,46
1786956849,100,3596,228.41,46
1786956850,97,3596,221.03,46
1786956851,93,3596,220.75,46
1786956852,93,3596,218.87,46
1786956853,89,3596,214.99,45
1786956854,96,3596,221.58,45
1786956855,97,3596,224.00,45
1786956856,96,3596,221.90,45
1786956857,93,3596,216.83,45
1786956859,97,3596,218.25,45
1786956860,99,3596,218.79,45
1786956861,93,3596,218.45,45
1786956862,96,3596,214.86,45
1786956863,99,3596,223.62,45
1786956864,95,3596,217.97,45
1786956865,98,3596,219.27,45
1786956866,95,3596,221.52,45
1786956867,97,3596,212.30,45
1786956868,98,3596,218.76,45
