timestamp,util_pct,mem_used_mib,power_w,temp_c
1784966334,0,433,114.78,35
1784966335,0,433,114.97,35
1784966337,1,958,114.80,35
1784966338,43,958,120.56,36
1784966339,0,958,114.87,35
1784966341,0,962,114.92,35
1784966342,1,1501,118.19,36
1784966344,83,2009,163.31,37
1784966345,97,2009,171.38,37
1784966346,97,2009,174.41,37
1784966347,94,2009,169.95,37
1784966348,96,2009,174.73,37
1784966349,95,2009,172.27,38
1784966350,88,2009,172.32,38
1784966351,95,2009,170.08,37
1784966352,95,2009,172.92,38
1784966353,87,2009,170.77,38
1784966355,77,2009,168.33,38
1784966356,95,2009,174.51,38
1784966357,77,2009,170.50,38
1784966358,95,2009,171.91,38
1784966359,81,2009,172.55,38
1784966360,86,2009,170.00,38
1784966361,95,2009,170.68,38
1784966362,86,2009,171.02,38
1784966363,92,2009,169.88,38
1784966364,79,2009,174.11,38
1784966365,75,2009,170.21,38
1784966367,66,2009,170.87,38
1784966368,83,2009,171.27,38
1784966369,75,2009,170.10,38
1784966370,86,2009,169.07,39
1784966371,73,2009,166.77,38
1784966372,79,2009,164.68,39
1784966373,71,2009,167.15,39
1784966374,76,2009,163.15,39
1784966375,82,2009,165.63,39
1784966376,66,2009,164.85,39
1784966378,82,2009,166.25,39
1784966379,77,2009,164.84,38
1784966380,79,2009,161.74,39
1784966381,80,2009,160.75,39
1784966382,82,2009,158.59,39
1784966383,86,2015,158.41,39
1784966384,84,2015,150.99,39
1784966385,84,2015,155.88,39
1784966386,80,2021,155.11,39
1784966387,65,2021,153.82,39
1784966388,83,2021,148.98,39
1784966390,80,2021,151.96,39
1784966391,81,2021,153.42,39
1784966392,90,2021,150.95,39
1784966393,90,2021,149.50,39
1784966394,82,2021,153.96,39
1784966395,85,2021,152.99,39
1784966396,77,2021,149.29,39
1784966397,88,2021,145.77,39
1784966398,89,2021,142.45,38
1784966399,94,2021,137.88,38
1784966400,95,2021,136.02,38
1784966401,98,2021,130.59,38
1784966403,43,2021,122.02,38
1784966404,44,2021,121.62,38
1784966405,0,2021,117.16,38
1784966406,0,2021,115.47,38
1784966407,0,2021,115.45,38
1784966408,0,2021,115.57,38
1784966409,0,2021,115.44,38
1784966410,0,2021,115.36,38
1784966411,0,2021,115.38,38
1784966412,0,2021,115.62,38
1784966413,0,2021,115.42,38
1784966414,0,2021,115.34,37
1784966416,96,2979,175.54,40
1784966417,96,2979,275.47,41
1784966418,96,2979,282.22,42
1784966419,96,2979,279.47,42
1784966420,96,2979,282.44,43
1784966421,97,2979,286.52,43
1784966422,96,2979,281.50,43
1784966423,96,2979,290.22,43
1784966424,96,2979,286.64,44
1784966425,96,2979,284.75,44
1784966426,96,2979,270.95,42
1784966428,88,2979,172.98,41
1784966429,91,2979,168.71,41
1784966430,90,2979,175.13,41
1784966431,98,2979,172.55,41
1784966432,72,2979,169.39,41
1784966433,87,2979,176.08,41
1784966434,66,2979,166.11,41
1784966435,92,2979,170.73,41
1784966436,89,2979,170.77,41
1784966437,79,2979,170.92,41
1784966438,87,2979,171.13,41
1784966440,87,2979,174.06,41
1784966441,92,2979,170.06,41
1784966442,97,2979,169.01,41
1784966443,77,2979,171.63,41
1784966444,88,2979,172.28,41
1784966445,88,2979,174.13,41
1784966446,88,2979,168.73,41
1784966447,84,2979,168.05,41
1784966448,81,2979,169.29,41
1784966449,88,2979,172.11,41
1784966450,80,2979,167.60,41
1784966452,75,2979,170.02,41
1784966453,74,2979,160.09,41
1784966454,69,2979,168.41,41
1784966455,61,2979,165.09,41
1784966456,76,2979,166.92,41
1784966457,79,2979,163.66,41
1784966458,73,2979,166.03,41
1784966459,76,2979,165.59,41
1784966460,73,2979,163.06,41
1784966461,80,2979,162.66,41
1784966462,81,2979,161.01,41
1784966464,84,2979,159.20,41
1784966465,86,2979,161.07,41
1784966466,88,2979,155.30,41
1784966467,77,2979,155.37,41
1784966468,68,2979,155.73,41
1784966469,74,2979,154.15,41
1784966470,75,2979,153.16,41
1784966471,83,2979,150.82,40
1784966472,79,2979,154.88,41
1784966473,81,2979,151.54,40
1784966474,80,2979,150.59,41
1784966476,82,2979,152.14,41
1784966477,87,2979,150.26,40
1784966478,88,2979,144.94,40
1784966479,90,2979,140.45,40
1784966480,96,2979,137.04,40
1784966481,96,2979,134.41,40
1784966482,96,2979,133.07,40
1784966483,42,2979,126.57,40
1784966484,40,2979,124.75,39
1784966485,40,2979,122.62,39
1784966486,42,2979,122.57,39
1784966487,41,2979,122.25,39
1784966489,0,2979,119.68,39
1784966490,0,2979,116.67,39
1784966491,0,2979,116.69,39
1784966492,0,2979,116.85,39
1784966493,0,2979,116.58,39
1784966494,0,2979,116.54,39
1784966495,0,2979,116.64,39
1784966496,0,2979,116.40,39
1784966497,0,2979,116.44,39
1784966498,0,2979,116.73,39
1784966499,0,2979,116.38,39
1784966501,0,2979,116.51,39
1784966502,0,2979,116.76,39
1784966503,0,2979,116.48,39
1784966504,0,2979,116.51,39
1784966505,0,2979,116.68,39
1784966506,96,2979,285.81,42
1784966507,96,2979,281.90,43
1784966508,96,2979,285.06,43
1784966509,96,2979,279.48,44
1784966510,96,2979,292.89,44
1784966511,96,2979,288.11,44
1784966513,96,2979,289.25,45
1784966514,96,2979,285.66,45
1784966515,96,2979,284.26,45
1784966516,96,2979,291.63,45
1784966517,91,2979,214.52,43
1784966518,85,2979,166.72,42
1784966519,71,2979,169.96,42
1784966520,88,2979,166.99,42
1784966521,89,2979,171.82,42
1784966522,78,2979,166.96,42
1784966523,83,2979,174.29,42
1784966525,88,2979,166.23,42
1784966526,79,2979,166.44,42
1784966527,76,2979,166.66,42
1784966528,67,2979,164.36,42
1784966529,83,2979,166.71,42
1784966530,69,2979,163.53,41
1784966531,73,2979,165.08,41
1784966532,84,2979,160.84,42
1784966533,79,2979,168.59,42
1784966534,68,2979,160.10,41
1784966536,73,2979,160.01,41
1784966537,67,2979,158.58,41
1784966538,73,2979,162.45,42
1784966539,69,2979,164.35,41
1784966540,78,2979,163.21,41
1784966541,68,2979,159.82,41
1784966542,79,2979,161.50,41
1784966543,71,2979,154.69,41
1784966544,75,2979,151.71,41
1784966545,70,2979,154.09,41
1784966547,75,2979,153.32,41
1784966548,71,2979,151.19,41
1784966549,76,2979,153.02,41
1784966550,71,2979,156.01,41
1784966551,73,2979,155.03,41
1784966552,85,2979,149.90,41
1784966553,85,2979,149.51,41
1784966554,87,2979,148.52,41
1784966555,87,2979,147.59,41
1784966556,88,2979,148.27,41
1784966557,90,2979,145.35,41
1784966558,90,2979,143.52,41
1784966560,90,2979,143.52,41
1784966561,90,2979,142.71,41
1784966562,92,2979,142.39,41
1784966563,92,2979,141.09,40
1784966564,92,2979,139.76,40
1784966565,94,2979,137.77,40
1784966566,95,2979,135.47,40
1784966567,96,2979,133.87,40
1784966568,97,2979,133.66,40
1784966569,97,2979,133.45,40
1784966570,96,2979,132.04,40
1784966571,88,2979,132.02,40
1784966572,97,2979,132.01,40
1784966574,99,2979,131.26,40
1784966575,98,2979,130.45,40
1784966576,99,2979,130.18,40
1784966577,99,2979,129.41,40
1784966578,99,2979,129.25,40
1784966579,99,2979,129.17,40
1784966580,99,2979,129.47,40
1784966581,99,2979,129.05,40
1784966582,99,2979,129.34,40
1784966583,99,2979,129.03,40
1784966584,98,2979,129.00,40
1784966586,99,2979,129.10,40
1784966587,99,2979,128.93,40
1784966588,99,2979,128.82,39
1784966589,99,2979,129.23,39
1784966590,45,2979,126.14,39
1784966591,96,2979,203.71,42
1784966592,96,2979,287.60,43
1784966593,96,2979,288.82,44
1784966594,96,2979,287.86,44
1784966595,96,2979,286.11,44
1784966596,96,2979,283.31,45
1784966597,96,2979,288.49,45
1784966599,96,2979,287.71,45
1784966600,96,2979,289.14,45
1784966601,96,2979,285.06,45
1784966602,76,2979,254.57,43
1784966603,83,2979,170.00,42
1784966604,84,2979,165.99,42
1784966605,74,2979,164.95,42
1784966606,80,2979,166.00,42
1784966607,77,2979,164.14,42
1784966608,71,2979,167.05,42
1784966610,77,2979,161.70,42
1784966611,66,2979,163.55,42
1784966612,61,2979,157.63,41
1784966613,68,2979,160.18,42
1784966614,74,2979,159.32,41
1784966615,64,2979,155.36,41
1784966616,67,2979,157.57,41
1784966617,77,2979,154.76,41
1784966618,65,2979,149.29,41
1784966619,73,2979,156.25,41
1784966620,79,2979,155.55,41
1784966621,85,2979,149.06,41
1784966623,76,2979,148.52,41
1784966624,81,2979,148.96,41
1784966625,80,2979,147.63,41
1784966626,83,2979,146.87,41
1784966627,83,2979,147.90,41
1784966628,84,2979,146.83,41
1784966629,88,2979,143.11,41
1784966630,87,2979,139.17,40
1784966631,91,2979,137.28,40
1784966632,91,2979,138.91,40
1784966633,92,2979,137.90,40
1784966634,93,2979,137.24,40
1784966636,93,2979,135.69,40
1784966637,94,2979,135.38,40
1784966638,94,2979,134.42,40
1784966639,96,2979,133.30,40
1784966640,97,2979,133.09,40
1784966641,98,2979,133.46,40
1784966642,97,2979,132.55,40
1784966643,96,2979,133.05,40
1784966644,97,2979,132.11,40
1784966645,97,2979,130.75,40
