timestamp,util_pct,mem_used_mib,power_w,temp_c
1786941790,0,433,114.24,34
1786941791,0,433,114.31,34
1786941793,0,433,114.33,34
1786941794,0,433,114.28,34
1786941795,0,433,114.41,34
1786941796,0,433,114.24,34
1786941797,0,822,114.21,34
1786941798,0,822,114.34,34
1786941799,0,822,114.31,34
1786941801,1,986,117.03,35
1786941805,51,988,136.80,35
1786941808,51,988,135.53,35
1786941810,51,1019,136.16,35
1786941812,54,1428,136.56,35
1786941814,54,2188,137.20,35
1786941815,51,2546,135.68,35
1786941816,50,2546,137.00,35
1786941818,86,3346,143.42,36
1786941819,100,3346,213.30,37
1786941820,100,3346,213.98,37
1786941821,100,3346,213.79,37
1786941822,100,3346,214.56,38
1786941823,100,3346,213.88,38
1786941824,100,3346,213.75,38
1786941825,100,3346,215.04,38
1786941826,100,3346,213.28,38
1786941827,100,3346,213.85,38
1786941828,100,3346,215.91,39
1786941829,100,3346,216.62,39
1786941831,100,3346,217.84,39
1786941832,100,3346,216.08,39
1786941833,100,3346,216.75,39
1786941834,100,3346,217.23,39
1786941835,100,3346,218.03,39
1786941836,100,3346,216.98,40
1786941837,100,3346,216.75,40
1786941838,100,3346,216.54,40
1786941839,100,3346,217.26,40
1786941840,100,3346,216.37,40
1786941841,100,3346,216.90,40
1786941843,100,3346,218.17,40
1786941844,100,3346,216.19,40
1786941845,100,3346,218.40,40
1786941846,100,3346,217.72,41
1786941847,100,3346,216.71,41
1786941848,100,3346,217.72,41
1786941849,100,3346,218.13,41
1786941850,100,3346,217.13,41
1786941851,100,3346,216.76,41
1786941852,100,3346,217.20,41
1786941853,100,3346,218.01,41
1786941855,100,3346,216.86,41
1786941856,100,3346,218.44,41
1786941857,100,3346,217.96,41
1786941858,100,3346,217.29,42
1786941859,100,3346,218.68,42
1786941860,100,3346,217.71,42
1786941861,100,3346,216.95,42
1786941862,100,3346,217.49,42
1786941863,100,3346,218.65,42
1786941864,100,3346,217.62,42
1786941865,100,3346,218.23,42
1786941866,100,3346,218.91,42
1786941868,100,3346,217.93,42
1786941869,100,3346,217.46,42
1786941870,100,3346,218.40,42
1786941871,100,3346,218.28,43
1786941872,100,3346,218.96,43
1786941873,100,3346,218.97,43
1786941874,100,3346,218.44,43
1786941875,100,3346,217.35,43
1786941876,100,3346,218.75,43
1786941877,100,3346,219.86,43
1786941878,100,3346,219.07,43
1786941879,100,3346,219.25,43
1786941881,100,3346,219.83,43
1786941882,100,3346,219.68,43
1786941883,100,3346,220.15,43
1786941884,100,3346,218.85,43
1786941885,100,3346,218.45,43
1786941886,100,3346,219.33,44
1786941887,100,3346,217.76,44
1786941888,100,3346,220.40,44
1786941889,100,3346,218.42,44
1786941890,100,3346,220.06,44
1786941891,100,3346,219.16,44
1786941892,100,3346,220.22,44
1786941894,100,3346,219.16,44
1786941895,100,3346,220.34,44
1786941896,100,3346,219.69,44
1786941897,100,3346,220.04,44
